Name,Type,Cost,Power,Hit Points,Card Text,Tribe,Set
Gerald Burrom,Unit,5,5,10,[Invoke] Red Soul: Lvl 2 Play 1 Burrom tribe card from your hand with a cost equal or less of this abilities level for free. If this unit would be sent from the field to the rift. Move all [Burrom] Tribe cards from your rift to your deck and shuffle your deck afterwards.,Burrom,Base
Armored Hydra,Unit,3,1,6,[Act]When this unit takes damage - Spawn 1 Hydra Head [1/X) token. X is equal to the amount of damage inflicted on this unit. This unit can block multiple units.,Burrom,Base
Blaze Beetles,Unit,2,1,3,[Invoke] Spawn 1 Blaze Beetle Token at [1/1): deal 1 damage to this unit.,Burrom,Base
Mountain Hounds,Unit,2,2,3,[Invoke] Ready this unit ~ On your [War phase] - this unit can attack up to 3 times. Navigate this unit twice after the war phase.,Burrom,Base
Troll Chief,Unit,2,2,3,[Act] When this unit attacks - Inflict damage towards the target before resolving damage. This effect cannot be used when this unit blocks or becomes affected by a skill.,Burrom,Base
Imp,Unit,2,1,5,[Invoke] You may pay for a Burrom skill card by permanently reducing this units stats.,Burrom,Base
Drake,Unit,1,1,5,[Invoke] Ready this unit. Inflict 2 damage to this unit. Increase it's power by 2 until the end of turn.,Burrom,Base
Red Sprite,Unit,0,1,1,[Act] This unit cannot attack players. When this unit would be sent to the rift from the field - Pick one of your units in play and either heal or increase it's attack by 1. If there are no unit's to target ~ target another unit in play and deal 1 damage.,Burrom,Base
Sera - Rune Master,Unit,3,3,5,[Act]If a skill was activated this turn: this unit gains +2 Power until the end of the turn. If this unit attack's with an [Earth] Tribe unit - increase the power of an attacking [Earth] unit by 1.,Burrom,Base
Dragon Knight,Unit,4,1,8,[Invoke] Navigate this unit [W]estbound. [Act] Each resolve that this unit navigates back - deal 2 damage to any unit in play.,Burrom,Base
Sparth,Unit,4,4,7,[Invoke] Equip a relic that can be equipped from your hand to this unit for free or destroy a relic equipped to this unit. [Act] If any [Equip] relic would be sent from the field to the rift - target a unit on the field and deal 2 damage to it.,Burrom,Base
Lizard Warrior,Unit,3,4,5,[Act] If this unit fights another unit with a relic equipped - destroy that unit.,Burrom,Base
Flare,Skill,X,Null,Null,{0} - Deal 1 damage to 1 target unit. {1} - Deal 2 damage to 1 target unit. {2} - Deal 4 damage to 1 target unit. {3} - Deal 6 damage to 1 target unit. {4} - Deal 4 damage to 2 target units.,Burrom,Base
Enrage,Skill,X,Null,Null,{0} - Increase 1 target units power by 1. {1} - Increase 1 target units power by 2. {2} - Increase 1 target units power by 3. {3} - Increase 1 target units power by 4. {4} - Increase 1 target units power by 5. {5} - Increase all of your units power by 3.,Burrom,Base
Ruin,Skill,X,Null,Null,{1} - Target 1 Relic and send it to the rift. {4} - Target a Unit and send it to the rift. {8} - Your opponent places all of their cards in their hand into their stockpile and moves all of their units to the rift.,Burrom,Base
Taunt,Skill,X,Null,Null,{1} Pick one of your units and another unit on the field. Both of those units battle each other. {3} Pick any 2 units to battle each other.,Burrom,Base
Fire Sling,Skill,X,Null,Null,{1} Deal 1 damage to 2 Units. {3} Deal 2 damage to 3 Units. {5} Deal 4 damage to all Units.,Burrom,Base
Dormant Volcano,Skill,2,Null,Null,[Chant: Unit Summoned] Inflict 2 damage to the summoned unit. The unit is [Burned].,Burrom,Base
Pyre,Skill,2,Null,Null,Heal a unit by 2 or Inflict [Burned] to a unit on the field.,Burrom,Base
Spell Battery,Relic,5,Null,Null,[Act] Whenever you play a skill - put a charge counter on this card. [Invoke] Spend 4 charge counters: inflict [Burned] to target player. If target player is already burning - inflict 2 damage to him/her instead.,Burrom, Base
Das Frog,Unit,4,4,10,[Invoke] Blue Soul: Lvl 3 Play 1 Gelofon tribe card from your hand with a cost equal or less of this abilities level for free or search your deck for 1 Gelofon Tribe card - show it to your opponent and add it to your hand. Shuffle your deck afterwards if you choose to search it.,Gelofon,Base
Frog Man,Unit,3,2,4,[Act] This unit is unaffected by card effects. [Resonate] The cost of a Skill played using this Unit as a Resonator is reduced by 1 to a minimium of 1.,Gelofon,Base
Blast Fish,Unit,3,2,5,[Act][Brutal Tactic] If this unit is destroyed by battle - inflict [Burned] to the unit that destroyed it.,Gelofon,Base
Guin,Unit,2,1,3,[Resonate] Add 1 life to a unit summoned this turn. [Act] If this unit would be targetted by an attack - you may navigate this unit to change that unit's target.,Gelofon,Base
Oun - Guardian Crab,Unit,2,1,4,[Act][Life Weave] If this unit is sent to the rift from the field - add it to your stockpile instead.,Gelofon,Base
King Crab,Unit,2,3,3,[Act] When this unit attacks: pick another unit and navigate it. You must resolve this effect before your opponent decides to block.,Gelofon,Base
Battle Crab,Unit,2,2,4,[Act] If this unit is blocked: add 1 power to this unit until the end of the turn.,Gelofon,Base
Blue Sprite,Unit,0,1,1,[Act] This unit cannot attack players. When this unit would be sent to the rift from the field - add it to your stockpile faceup instead. When used as a resource for a Gelofon card - add (+2) Life to that unit.,Gelofon,Base
Vanta Reef,Unit,4,3,7,[Invoke] Search your deck for 'Gelofon' Skill card - show it to your opponent and add it to your hand. Shuffle your deck afterwards. [Act] If this unit is navigated: it cannot be targetted by skill effects.,Gelofon,Base
Kuvo,Unit,2,2,5,[Act] This this unit is blocked - navigate the blocking unit again at the end of the war phase.,Gelofon,Base
Tonas,Unit,3,3,6,[Act] If this unit inflicts damage to a player through a direct attack; Draw a card. If this unit is destroyed during the warphase - your opponent draws a card.,Gelofon,Base
Giant Star Fish,Unit,1,2,3,[Act] If a 'Gelofon' tribe skill is played - navigate this unit and heal another in play by 1. This effect cannot be used if this unit is [W]estbound. You cannot heal this unit.,Gelofon,Base
Deep focus,Skill,1,Null,Null,[Limit:2] Draw 4 cards.,Gelofon,Base
Dream Wall,Skill,1,Null,Null,[Shift] Target a skill - negate it's effects and destroy it. This card cannot target chants.,Gelofon,Base
Gate Crack,Skill,2,Null,Null,[Chant: Unit Summon] If a unit would be summoned - return it and the top card of it's owner's rift to the deck. The affected player shuffles their deck afterwards.,Gelofon,Base
Steam Clone,Skill,2,Null,Null,[Chant: Unit Summon] Spawn a token with the exact same life and power of the summoned unit. The token receives [Burned].,Gelofon,Base
Tidal Wave,Skill,1,Null,Null,[Chant: Unit Attack] Reduce the attack of all Units with a cost of {2} or less to 0 until the end of the war phase.,Gelofon,Base
Gel Skin,Skill,1,Null,Null,[Chant: Skill Cast] Target a unit. That unit becomes immune to card effects until the end of the turn.,Gelofon,Base
Gel Shield,Skill,2,Null,Null,[Chant: Skill Cast] Target a skill. Negate it's effects and add it to your stockpile face up.,Gelofon,Base
Gush,Skill,2,Null,Null,[Chant: Unit Block] Target a blocking unit; that unit is no longer blocking.,Gelofon,Base
Mirage Lake,Relic,8,Null,Null,Once per turn when one of your opponent's Units Attack or Block - Spawn a token with the following effects. (Mirage [0/X)) X is equal to an attacking unit's Life. This Unit cannot Attack.,Gelofon,Base
Boost Troop,Unit,2,1,3,[Invoke] Select another unit in play - That unit can attack twice until the end of the turn.,Earth,Base
Minotaur,Unit,2,5,2,[Act] When attacking if blocked and the blocking unit's attack is lower - discard it to the rift after combat.,Earth,Base
Gate Guardian,Unit,1,1,3,[Act] When this unit is Blocking: Increase it's life by 1. If the attacking unit is 4 or higher - reduce the damage dealt to this unit by 1.,Earth,Base
Medic,Unit,1,1,2,[Act] After each Draw phase during your turn - Select one of your own Earth units. Heal that unit by 1. Healing does not increase the life of that unit.,Earth,Base
War Gear,Unit,1,2,2,[Act] When this unit is used in a fusion - add an additional [+1](+3) to that fusion.,Earth,Base
Spark Carrier,Unit,1,X,X,[Fusion] 2x Earth Units - This unit may inherit 2 abilities from it's materials. When this unit recieves damage ~ spawn 1 Battle Bot Token [2/1).,Earth,Base
Kiva the  Traveler,Unit,3,X,X,[Life Weave][Fusion] 3x Earth Units This unit may inherit 3 abilities from it's materials. When this unit attacks - you may pick another unit and split the damage between the two targets. You can only pick up to one other target. This unit cannot be blocked.,Earth,Base
Juno of Earth,Unit,5,4,10,"[Invoke] Purple Soul: Lvl 3 - Play 1 Earth tribe card from your hand with a cost equal or less of this abilities level for free. Exhaust this unit afterwards.[Act] This unit cannot be affected by Skills or card effects. This unit cannot equip Relic cards.",Earth,Base
Jivet,Unit,2,1,3,[Act][Life Weave] If this unit is used as apart of a fusion: search your deck for a skill or relic card and show it to your opponent.  Add it to your hand and then shuffle your deck afterwards.,Earth,Base
Purple Sprite,Unit,0,1,1,[Act] This unit cannot attack. When this unit would be sent to the rift from the field: add it to your stockpile faceup instead. When used as a resource for an Earth tribe card - reshuffle this card back into your deck. This unit cannot be treated as a resonator.,Earth,Base
Robathos War Machine,Unit,0,X,X,[Fusion] 2x Earth Units - This unit may inherit 2 abilities from it's materials.,Earth,Base
Gargoyle,Unit,1,2,3,[Act] If this unit is navigated: it cannot be targetted by card effects.,Earth,Base
